uuid,name,version,classifier,active,lastBomImport,ria_id,component_count,tag1,tag2,tag3,tag4,tag5,tag6,tag7,tag8,tag9,tag10
9c0b61cc-737c-4495-bba2-20f57fc169fb,OSFIN-Exception Report Reconciliation - Gateway,1.0,CONTAINER,True,1769517564896,ria0282,100,npf,au,ria0282,non-cis,non-critical,,,,,
d9323846-2084-4a83-90a2-9d9cdef9b4c5,OSFIN-Exception Report Reconciliation - Release,1.0,CONTAINER,True,1769517675805,ria0282,100,npf,au,ria0282,non-cis,non-critical,,,,,
c73d33fc-d1b3-4a58-9319-25fbff872426,OSFIN-Exception Report Reconciliation - batch,,CONTAINER,True,1769516744521,ria0282,100,npf,au,ria0282,non-cis,non-critical,,,,,
ca0d3745-7d22-4761-bf27-ce6e60e98c97,OSFIN-Exception Report Reconciliation - frontend,1.0,CONTAINER,True,1769516898713,ria0282,100,npf,au,ria0282,non-cis,non-critical,,,,,
911be334-99ca-4d67-8555-d20943eebcaa,Posidex,1.0,APPLICATION,True,,ria0246,0,npf,au,non-cis,ria0246,non-critical,,,,,
4579d9f9-e60c-4133-833b-8192277c671a,Sampark,1.0,APPLICATION,True,1767678535230,ria0409,44,pf,ria0409,non-cis,fincare,non-critical,,,,,
aa6ffcf5-2a14-421d-9097-d60f4891fc91,Sangrah,1.0,APPLICATION,True,1767679184519,ria0400,14,npf,non-cis,ria0400,fincare,non-critical,,,,,
bc6e00d8-55c7-49d0-9e0e-052e0a753ca1,Selenium Bots  - FCU,1.0,APPLICATION,True,1769518784496,ria0394,39,low,npf,fcu,non-cis,ria0394,non-critical,,,,
7ffb9f66-ef97-495b-82bb-f9c94fd99a08,Suraksha-FCU,1.0,APPLICATION,True,1767679079567,ria0393,17,npf,ria0393,non-cis,fincare,non-critical,,,,,
09b863ca-335e-4b69-b1dd-f363d5401edd,TCSeKYC Aadhaar Solution,1.0,LIBRARY,True,1769505837273,ria0222,100,npf,au,critical,non-cis,ria0222,,,,,
2e9932a6-6909-4e16-ac5b-1000a21d7104,TransBnk_escrow,1.0,CONTAINER,True,1769060344115,,100,,,,,,,,,,
badeccf8-7316-4127-9555-3ab9ac9d562c,TransBnk_rera,1.0,CONTAINER,True,1769060550016,,100,,,,,,,,,,
ce8e5672-ae07-4716-a3db-e8c7c4675efb,Video Banking - Custom_sbom,1.0,APPLICATION,True,1767679432697,ria0236,100,au,critical,pf,non-cis,ria0236,,,,,
2ac561b1-0f04-4275-b328-75948addce4b,bridge-app-main - demo semgrep,1.0,APPLICATION,True,1770099402138,,100,,,,,,,,,,
bce7cb84-0787-4cb7-a354-6573e7d6a681,goldloan,1.0,APPLICATION,True,1767678202432,ria0368,10,pf,non-cis,fincare,non-critical,ria0368,,,,,
9ef3acb3-0fed-4770-b61b-a071fba64cc0,mCare,1.0,APPLICATION,True,1767677579239,ria0386,49,pf,non-cis,ria0386,fincare,non-critical,,,,,
515876ff-7a97-4e2d-9a47-d803c2e1210f,mConnect - FCU,1.0,APPLICATION,True,,ria0379,0,high,pf,fcu,non-cis,ria0379,,,,,
baa5bacd-6271-4b01-bc7e-7934873d310c,mSahay - FCU,1.0,APPLICATION,True,,ria0378,0,high,pf,fcu,non-cis,ria0378,,,,,
